epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7998,0.25877,103.691,0.15703,0,0,0,0,0.02558,137.399,0.01455,0.00058,0.00058,0.00058
2,68.1009,0.19165,71.41,0.10798,0,0,0,0,0.01871,70.2763,0.01047,0.00116832,0.00116832,0.00116832
3,96.4545,0.75546,57.3212,0.36538,0,0,0,0,6.79237,24.9041,2.51459,0.00174476,0.00174476,0.00174476
4,124.637,3.83255,35.8855,1.5792,0,0,0,0,3.42406,6.77319,2.46298,0.0019406,0.0019406,0.0019406
5,153.037,4.07694,10.8713,1.58847,0,0,0,0,0.00302,40.3965,0.00211,0.0019208,0.0019208,0.0019208
6,195.757,3.90323,5.84751,1.3367,0,0,0,0,0,1.6909,0,0.001901,0.001901,0.001901
7,227.139,3.65677,5.12101,1.2813,0.00281,0.84298,0.02175,0.00435,3.23743,5.60126,1.20489,0.0018812,0.0018812,0.0018812
8,257.459,3.46792,4.5286,1.2614,0.00143,0.42975,0.01476,0.00467,3.52379,5.41604,1.41587,0.0018614,0.0018614,0.0018614
9,289.853,3.53803,4.29716,1.26294,0.00478,0.82645,0.01905,0.00445,3.26824,3.78803,1.24508,0.0018416,0.0018416,0.0018416
10,321.357,3.35189,3.97886,1.21583,0.00359,0.47107,0.01838,0.00473,3.18708,3.92413,1.18699,0.0018218,0.0018218,0.0018218
11,353.361,3.37896,3.8125,1.20038,0.00352,0.86777,0.0342,0.00791,3.12363,3.59629,1.16244,0.001802,0.001802,0.001802
12,382.917,3.27619,3.57673,1.17107,0.00539,0.86777,0.05939,0.0134,3.00743,3.26625,1.09834,0.0017822,0.0017822,0.0017822
13,469.541,3.19868,3.39471,1.17351,0.01204,0.46281,0.04445,0.00939,3.26992,3.69371,1.17514,0.0017624,0.0017624,0.0017624
14,505.688,3.22915,3.25149,1.18516,0.1419,0.44628,0.16084,0.05052,2.88999,2.83648,1.13454,0.0017426,0.0017426,0.0017426
15,543.951,3.05067,2.8957,1.13117,0.26946,0.22314,0.2302,0.05571,2.78906,2.7547,1.09362,0.0017228,0.0017228,0.0017228
16,576.955,2.93117,2.54014,1.09767,0.49167,0.17355,0.22203,0.06554,2.7182,2.79465,1.09044,0.001703,0.001703,0.001703
17,608.363,2.73416,2.15639,1.06757,0.78296,0.50685,0.66956,0.27605,2.22085,1.82188,0.9848,0.0016832,0.0016832,0.0016832
18,639.735,2.56324,1.81332,1.04834,0.94163,0.79995,0.86193,0.39189,2.06264,1.3636,0.95448,0.0016634,0.0016634,0.0016634
19,670.227,2.38829,1.62518,0.99742,0.68615,0.73554,0.6122,0.19739,2.38194,1.44639,1.02236,0.0016436,0.0016436,0.0016436
20,701.289,2.30025,1.53097,0.99087,0.38235,0.75207,0.64373,0.27689,2.48027,2.62111,1.00681,0.0016238,0.0016238,0.0016238
21,729.096,2.16008,1.40616,0.96192,0.82988,0.81818,0.81177,0.39177,2.10691,1.36703,0.94855,0.001604,0.001604,0.001604
22,756.714,2.16247,1.2929,0.96398,0.87986,0.66116,0.80609,0.35794,1.96631,1.71151,0.93967,0.0015842,0.0015842,0.0015842
23,783.707,2.14767,1.23764,0.95421,0.93892,0.88936,0.9383,0.44903,1.77584,0.97258,0.89802,0.0015644,0.0015644,0.0015644
24,810.874,2.1032,1.24495,0.97216,0.96509,0.91387,0.9488,0.43864,1.88394,0.90363,0.91301,0.0015446,0.0015446,0.0015446
25,839.276,2.01324,1.16773,0.94678,0.9913,0.94179,0.98321,0.51741,1.67295,0.86966,0.88455,0.0015248,0.0015248,0.0015248
26,866.239,1.9222,1.1311,0.92949,0.9665,0.95381,0.97973,0.51481,1.65024,0.84466,0.87565,0.001505,0.001505,0.001505
