index,filename,mean_abs_diff_vs_prev_gray8,cells_excluded_as_overlay
0,frame_000000.jpg,,
1,frame_000001.jpg,0.3501,39
2,frame_000002.jpg,0.3482,39
3,frame_000003.jpg,0.3486,36
4,frame_000004.jpg,0.3545,36
5,frame_000005.jpg,0.354,36
6,frame_000006.jpg,0.3491,36
7,frame_000007.jpg,0.3552,39
8,frame_000008.jpg,0.3505,39
9,frame_000009.jpg,0.3491,39
10,frame_000010.jpg,0.3521,36
11,frame_000011.jpg,0.3524,36
12,frame_000012.jpg,0.3521,39
13,frame_000013.jpg,0.3505,39
14,frame_000014.jpg,0.3484,36
15,frame_000015.jpg,0.354,36
16,frame_000016.jpg,0.3566,36
17,frame_000017.jpg,0.35,36
18,frame_000018.jpg,0.3511,39
19,frame_000019.jpg,0.3459,38
20,frame_000020.jpg,0.3518,38
21,frame_000021.jpg,0.3462,39
22,frame_000022.jpg,0.3482,39
23,frame_000023.jpg,0.3479,39
24,frame_000024.jpg,0.35,39
25,frame_000025.jpg,0.353,39
26,frame_000026.jpg,0.3556,39
27,frame_000027.jpg,0.3524,39
28,frame_000028.jpg,0.3508,38
29,frame_000029.jpg,0.3453,36
30,frame_000030.jpg,0.3448,36
31,frame_000031.jpg,0.3455,39
32,frame_000032.jpg,0.3484,39
33,frame_000033.jpg,0.3469,38
34,frame_000034.jpg,0.3507,36
35,frame_000035.jpg,0.3548,39
36,frame_000036.jpg,0.3449,39
37,frame_000037.jpg,0.3425,38
38,frame_000038.jpg,0.3419,38
39,frame_000039.jpg,0.3467,39
40,frame_000040.jpg,0.353,36
41,frame_000041.jpg,0.3516,36
42,frame_000042.jpg,0.3532,36
43,frame_000043.jpg,0.3516,36
44,frame_000044.jpg,0.3434,35
45,frame_000045.jpg,0.3471,35
46,frame_000046.jpg,0.3495,36
47,frame_000047.jpg,0.3466,37
48,frame_000048.jpg,0.345,39
49,frame_000049.jpg,0.3451,38
50,frame_000050.jpg,0.3475,38
51,frame_000051.jpg,0.3445,38
52,frame_000052.jpg,0.3449,38
53,frame_000053.jpg,0.3515,39
54,frame_000054.jpg,0.3451,40
55,frame_000055.jpg,0.3515,40
56,frame_000056.jpg,0.3482,39
57,frame_000057.jpg,0.3543,39
58,frame_000058.jpg,0.3519,39
59,frame_000059.jpg,0.3463,35
60,frame_000060.jpg,0.357,35
61,frame_000061.jpg,0.3517,39
62,frame_000062.jpg,0.3527,40
63,frame_000063.jpg,0.3478,38
64,frame_000064.jpg,0.346,45
